date,category,published_date,site_name,url,title,summary,content,region,score_ag,keywords,reward_x,rl_score,lgbm_score,reward_y,strategic_score,lgbm_component,strategic_score_norm,final_score,is_top20
2026-08-28,Reimbursement,2026-08-28 06:06:00,Naver News,https://www.medipana.com/news/articleView.html?idxno=416667,"종근당, '리피로우젯' 약가 '아토젯'과 맞춘다…시장 확대 주목 - 메디파나뉴스","종근당이 이상지질혈증 복합제 '리피로우젯' 3개 용량 약가를 자진 인하해 오리지널 의약품 '아토젯'과 동일하게 맞춘다. 아토젯 공동판매 종료와 맞물려 가격 차이를 해소, 자체 제품 시장 확대 기반을 마련함에 따라 향후 시장 성과를 낼 수 있을지 주목된다. 리피로우젯 3개 용량 가격 11%↓…아토젯과 일치 27일 보건복지부에 따르면 종근당 리피로우젯 3개 용.","종근당이 이상지질혈증 복합제 '리피로우젯' 3개 용량 약가를 자진 인하해 오리지널 의약품 '아토젯'과 동일하게 맞춘다. 아토젯 공동판매 종료와 맞물려 가격 차이를 해소, 자체 제품 시장 확대 기반을 마련함에 따라 향후 시장 성과를 낼 수 있을지 주목된다. 리피로우젯 3개 용량 가격 11%↓…아토젯과 일치 27일 보건복지부에 따르면 종근당 리피로우젯 3개 용",local,2,약가,,,0.973914075780936,,12.0,9.739140757809361,5.454545454545454,8.025302636503799,True
2026-08-28,BD,2026-08-28 05:42:00,Naver News,https://www.hitnews.co.kr/news/articleView.html?idxno=78669,대웅제약-종근당 '3년 펙수클루 동행 지속 가능? 곳곳서 이상징후,펙수클루를 공동 판매해온 종근당과 대웅제약 간 이상징후가 감지된다. 진위가 확인되지 않은 '펙수클루 공급을 8월로 마감한다'는 메시지가 나도는가하면 유통업체들은 재고 확보 움직임에 나섰다.26일 유통업계 및 약국가에 따르면 '종근당 내부에서 펙수클루(성분명 펙수프라잔)의 판매가 8월까지 진행될 예정'이라는 메시지가 나오고 있다. 메시지를 받은 업체들도 종근당 내부에서 받았다고 밝히고 있다.문자의 내용은 펙수클루의 재고가 소진될 경우 추가 공급이 어려운 만큼 회사 상황에 맞춰 대비하라는 내용이다.,펙수클루를 공동 판매해온 종근당과 대웅제약 간 이상징후가 감지된다. 진위가 확인되지 않은 '펙수클루 공급을 8월로 마감한다'는 메시지가 나도는가하면 유통업체들은 재고 확보 움직임에 나섰다.26일 유통업계 및 약국가에 따르면 '종근당 내부에서 펙수클루(성분명 펙수프라잔)의 판매가 8월까지 진행될 예정'이라는 메시지가 나오고 있다. 메시지를 받은 업체들도 종근당 내부에서 받았다고 밝히고 있다.문자의 내용은 펙수클루의 재고가 소진될 경우 추가 공급이 어려운 만큼 회사 상황에 맞춰 대비하라는 내용이다. 펙수클루 20mg 제품이 품절로 추가,local,10,공동판매,,,0.9407870491117865,,13.0,9.407870491117865,5.909090909090909,8.008358658307083,True
2026-08-28,BD,2026-08-27 02:00:00,Naver News,http://www.mkhealth.co.kr/news/articleView.html?idxno=79757,"익숙한 브랜드에 새 옷 입힌다…제약사, 소비자 접점 확대","제약사들이 소비자에게 익숙한 기존 브랜드의 브랜드 아이덴티티(BI)와 패키지를 재정비하고 제품군과 소비자 접점을 넓히고 있다. 단순히 제품 외관을 바꾸는 데 그치지 않고 브랜드 정체성을 강화하거나 기존 인지도를 활용해 제품군과 소비자층, 유통채널을 확대하는 방식이다.27일 제약업계에 따르면 JW중외제약은 아이케어 브랜드 '프렌즈(Frenz)' 통합 BI를 새롭게 구축하고 기존 의약품 중심에서 화장품과 의료기기, 식품까지 아우르는 '토탈 아이케어' 브랜드로 확장한다.프렌즈는 일반의약품 '프렌즈 아이드롭점안액'을 중심으로 성장한 브랜드.","제약사들이 소비자에게 익숙한 기존 브랜드의 브랜드 아이덴티티(BI)와 패키지를 재정비하고 제품군과 소비자 접점을 넓히고 있다. 단순히 제품 외관을 바꾸는 데 그치지 않고 브랜드 정체성을 강화하거나 기존 인지도를 활용해 제품군과 소비자층, 유통채널을 확대하는 방식이다.27일 제약업계에 따르면 JW중외제약은 아이케어 브랜드 '프렌즈(Frenz)' 통합 BI를 새롭게 구축하고 기존 의약품 중심에서 화장품과 의료기기, 식품까지 아우르는 '토탈 아이케어' 브랜드로 확장한다.프렌즈는 일반의약품 '프렌즈 아이드롭점안액'을 중심으로 성장한 브랜드",local,10,코프로모션,,,0.9199761028322312,,13.0,9.199761028322312,5.909090909090909,7.88349298062975,True
2026-08-28,BD,2026-08-26 16:58:00,Naver News,https://www.sisajournal-e.com/news/articleView.html?idxno=423314,"일동제약, 조직 유지·의원 CSO 도입···업계 “MR과 CSO 공존이 관건” - 시사저널e",약가인하를 앞두고 그동안 대책을 고심해왔던 일동제약이 의원급 의료기관에 대해 CSO(영업대행사) 도입을 결정했다.,[시사저널e=이상구 의약전문기자] 약가인하를 앞두고 그동안 대책을 고심해왔던 일동제약이 의원급 의료기관에 대해 CSO(영업대행사) 도입을 결정했다. 기존 영업조직,local,10,코프로모션,,,0.9080896001054801,,13.0,9.080896001054802,5.909090909090909,7.812173964269245,True
2026-08-28,Distribution,2026-08-26 06:02:00,Naver News,https://new.dailypharm.com/user/news/341336?REFERER=NP,"[데일리팜]감축 넘어 '선택과 집중'…다국적사, 포트폴리오 다이어트",다국적제약사의 조직 운영 방식이 달라지고 있다. 글로벌 본사의 사업 포트폴리오 재편에 따라 국내에서도 희망퇴직프로그램(ERP)이 반복되는 가운데 기존 사업과 품목의 운영을 외부 파트너에게 넘기는 움직임도 함께 나타나고 있다. 과거 조직 재편이 인력 감축과 비용 효율화에 초점이 맞춰졌다면 최근에는 어떤 사업과 기능을 내부에 남길 것인지까지 재조정하는 모습이다.,다국적제약사의 조직 운영 방식이 달라지고 있다. 글로벌 본사의 사업 포트폴리오 재편에 따라 국내에서도 희망퇴직프로그램(ERP)이 반복되는 가운데 기존 사업과 품목의 운영을 외부 파트너에게 넘기는 움직임도 함께 나타나고 있다. 과거 조직 재편이 인력 감축과 비용 효율화에 초점이 맞춰졌다면 최근에는 어떤 사업과 기능을 내부에 남길 것인지까지 재조정하는 모습이다. 성장성이…,local,10,DKSH,,,0.8859126564825334,,13.0,8.859126564825333,5.909090909090909,7.679112302531564,True
2026-08-28,BD,2026-08-28 06:02:00,Naver News,https://www.dailypharm.com/user/news/341844?REFERER=NP,[데일리팜]허가·급여부터 유통까지…신약 출시 전략도 '조합' 시대,"신약 하나를 국내 시장에 내놓기까지 제약사는 여러 차례 선택의 순간을 맞는다. 제약사는 임상부터 업무를 자체적으로 수행할지 외부 전문기업의 도움을 받을지, 허가 이후 급여와 약가는 어떤 방식으로 준비할지 등을 결정해야 한다. 제품 홍보는 인하우스 조직과 PR에이전시의 역할을 나눠야 하고, 출시 이후에는 자체 영업조직을 가동할지 국내 제약사와 공동판매에 나설지 선택지가….","신약 하나를 국내 시장에 내놓기까지 제약사는 여러 차례 선택의 순간을 맞는다. 제약사는 임상부터 업무를 자체적으로 수행할지 외부 전문기업의 도움을 받을지, 허가 이후 급여와 약가는 어떤 방식으로 준비할지 등을 결정해야 한다. 제품 홍보는 인하우스 조직과 PR에이전시의 역할을 나눠야 하고, 출시 이후에는 자체 영업조직을 가동할지 국내 제약사와 공동판매에 나설지 선택지가…",local,10,공동판매,,,0.9394967894087534,,11.0,9.394967894087534,5.0,7.636980736452521,True
2026-08-28,Distribution,2026-08-25 15:05:00,Naver News,https://www.mt.co.kr/thebio/2026/08/26/2026082514174069970,뒤숭숭한 외국계 제약사…잇단 구조조정 '칼바람' - 머니투데이,블록버스터(연매출 1조원 이상) 의약품의 특허 만료 등으로 성장 정체가 우려되면서 전 세계적으로 조직 슬림화에 나섰고 국내 법인들도 그 영향을 받은 것으로 풀이된다. 25일 제약업계에 따르면 지난달부터 국내 일부 다국적 제약사들이 대규모 조직 재편에 들어갔다.,블록버스터(연매출 1조원 이상) 의약품의 특허 만료 등으로 성장 정체가 우려되면서 전 세계적으로 조직 슬림화에 나섰고 국내 법인들도 그 영향을 받은 것으로 풀이된다. 25일 제약업계에 따르면 지난달부터 국내 일부 다국적 제약사들이 대규모 조직 재편에 들어갔다.,local,10,DKSH,,,0.9627067692281437,,10.0,9.627067692281436,4.545454545454545,7.59442243355068,True
2026-08-28,BD,2026-08-27 06:02:00,Naver News,https://www.dailypharm.com/user/news/341700?REFERER=NP,"[데일리팜]제약사는 슬림화, 외주는 전문화…재편되는 제약 서비스 시장","에이전트의 시대가 돼 버렸다. 다국적제약사들이 사업 우선순위에 따라 조직을 재편하는 사이 제약사 외부에서는 관련 업무를 지원하는 서비스 산업의 존재감이 커지고 있다. 과거에도 법률 자문과 홍보, 경제성평가 등 주요 업무를 외부 전문기업에 맡기는 것은 일반적이었다. 최근 나타나는 변화는 외부에서 담당하는 업무의 범위와 깊이다. 신약의 급여와 약가, 경제성평가, 정책 대응….","에이전트의 시대가 돼 버렸다. 다국적제약사들이 사업 우선순위에 따라 조직을 재편하는 사이 제약사 외부에서는 관련 업무를 지원하는 서비스 산업의 존재감이 커지고 있다. 과거에도 법률 자문과 홍보, 경제성평가 등 주요 업무를 외부 전문기업에 맡기는 것은 일반적이었다. 최근 나타나는 변화는 외부에서 담당하는 업무의 범위와 깊이다. 신약의 급여와 약가, 경제성평가, 정책 대응…",local,10,특허만료,,,0.9338191079586173,,10.0,9.338191079586174,4.545454545454545,7.421096465933522,True
2026-08-28,BD,2026-08-24 12:06:00,Naver News,https://www.medicaltimes.com/Main/News/NewsView.html?ID=1170329&ref=naverpc,"[메디칼타임즈] 종근당 조직개편에 쏠린 시선, 다국적사 공동판매 재평가","최근 종근당이 하반기를 맞아 조직개편을 단행하면서 이를 둘러싼 관심이 다국적 제약업계에까지 미치고 있다.정부의 약가제도 개편, 원자재 가격 상승 등 대내외적인 경영 불확실성이 커진 가운데, 국내 매출 상위 제약사인 종근당이 꺼내 든 조직 효율화 카드가 향후 업계 전반에 어떤 파장을 불러올지 관심이 집중되는 양상이다.지난 달 종근당이 임직원들에게 전달한 안내문을 재구성한 사진이다.조직 효율화 필수 과제… 희망퇴직설 선 그어21일 제약업계에 따르면, 최근 종근당은 하반기와 맞물려 유사한 직무를 수행하는 조직을 통폐합하고 의사결정 단계를 축소하는 내용의 조직개편을 단행한 것으로 나타났다.이 같은 내용은 지난달 초 종근당 김영주 대표가 임직원에게 전달한 안내문이 뒷받침한다.김 대표는 서한을 통해.","[메디칼타임즈=문성호 기자]최근 종근당이 하반기를 맞아 조직개편을 단행하면서 이를 둘러싼 관심이 다국적 제약업계에까지 미치고 있다.정부의 약가제도 개편, 원자재 가격 상승 등 대내외적인 경영 불확실성이 커진 가운데, 국내 매출 상위 제약사인 종근당이 꺼내 든 조직 효율화 카드가 향후 업계 전반에 어떤 파장을 불러올지 관심이 집중되는 양상이다.지난 달 종근당이 임직원들에게 전달한 안내문을 재구성한 사진이다.조직 효율화 필수 과제… 희망퇴직설 선 그어21일 제약업계에 따르면, 최근 종근당은 하반기와 맞물려 유사한 직무를 수행하는 조직을 통폐합하고 의사결정 단계를 축소하는 내용의 조직개편을 단행한 것으로 나타났다.이 같은 내용은 지난달 초 종근당 김영주 대표가 임직원에게 전달한 안내문이 뒷받침한다.김 대표는 서한을 통해",local,10,바이엘,,,0.8187764162253359,,13.0,8.187764162253359,5.909090909090909,7.276294860988379,True
2026-08-28,BD,2026-08-25 17:34:00,Naver News,https://www.sedaily.com/article/20083159?ref=naver,재위탁땐 제약사 사전동의 추진…‘하청 피라미드’ 막는다,보건복지부가 25일 국내 도입 20여 년 만에 의약품 영업 대행(CSO) 제도를 본격적으로 수술대에 올리는 것은 CSO가 제약 영업 현장에 빠르게 확산된 데 비해 관리·감독 체계가 이를 따라가지 못했기 때문이다. 관리 감독의 사각지대에 머물면서 약품 영업을 위한 불법.,보건복지부가 25일 국내 도입 20여 년 만에 의약품 영업 대행(CSO) 제도를 본격적으로 수술대에 올리는 것은 CSO가 제약 영업 현장에 빠르게 확산된 데 비해 관리·감독 체계가 이를 따라가지 못했기 때문이다. 관리 감독의 사각지대에 머물면서 약품 영업을 위한 불법,local,10,판촉영업자,,,0.9094732103075371,,10.0,9.094732103075371,4.545454545454545,7.275021080027041,True
